player_id,year,team,is_finals,games_played,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists,total_score,total_fantasy_points,total_percentage_played,avg_kicks,avg_marks,avg_handballs,avg_disposals,avg_goals,avg_behinds,avg_hit_outs,avg_tackles,avg_rebound_50s,avg_inside_50s,avg_clearances,avg_clangers,avg_free_kicks_for,avg_free_kicks_against,avg_contested_possessions,avg_uncontested_possessions,avg_contested_marks,avg_marks_inside_50,avg_one_percenters,avg_bounces,avg_goal_assists,avg_score,avg_fantasy_points,avg_percentage_played
43262,2014,Gold Coast Suns,FALSE,15,254,30,227,481,24,7,0,91,38,77,118,63,35,23,22,262,211,3,4,19,10,19,151,1787,1358,16.9,2,15.1,32.1,1.6,0.5,0,6.1,2.5,5.1,7.9,4.2,2.3,1.5,17.5,14.1,0.2,0.3,1.3,0.7,1.3,10.1,119.1,90.5
43262,2015,Gold Coast Suns,FALSE,6,94,12,43,137,10,3,0,28,16,27,37,18,15,9,5,66,67,1,2,9,1,4,63,567,455,15.7,2,7.2,22.8,1.7,0.5,0,4.7,2.7,4.5,6.2,3,2.5,1.5,11,11.2,0.2,0.3,1.5,0.2,0.7,10.5,94.5,75.8
43262,2016,Gold Coast Suns,FALSE,14,203,28,175,378,10,12,0,85,37,61,103,42,19,19,6,185,190,0,6,17,12,5,72,1417,1225,14.5,2,12.5,27,0.7,0.9,0,6.1,2.6,4.4,7.4,3,1.4,1.4,13.2,13.6,0,0.4,1.2,0.9,0.4,5.1,101.2,87.5
43262,2017,Gold Coast Suns,FALSE,14,267,49,195,462,8,11,0,77,35,83,106,65,13,18,14,192,256,2,3,9,8,12,59,1664,1209,19.1,3.5,13.9,33,0.6,0.8,0,5.5,2.5,5.9,7.6,4.6,0.9,1.3,13.7,18.3,0.1,0.2,0.6,0.6,0.9,4.2,118.9,86.4
43262,2018,Geelong Cats,FALSE,18,280,79,245,525,16,14,0,66,36,90,82,77,24,31,14,199,329,2,6,14,9,8,110,1872,1477,15.6,4.4,13.6,29.2,0.9,0.8,0,3.7,2,5,4.6,4.3,1.3,1.7,11.1,18.3,0.1,0.3,0.8,0.5,0.4,6.1,104,82.1
43262,2018,Geelong Cats,TRUE,1,16,6,11,27,0,1,0,6,8,2,4,6,0,1,0,7,20,1,0,0,0,0,1,110,87,16,6,11,27,0,1,0,6,8,2,4,6,0,1,7,20,1,0,0,0,0,1,110,87
43262,2019,Geelong Cats,FALSE,21,264,80,166,430,33,16,0,94,20,108,46,76,15,34,13,177,261,8,20,14,5,19,214,1867,1844,12.6,3.8,7.9,20.5,1.6,0.8,0,4.5,1,5.1,2.2,3.6,0.7,1.6,8.4,12.4,0.4,1,0.7,0.2,0.9,10.2,88.9,87.8
43262,2019,Geelong Cats,TRUE,3,29,9,23,52,1,2,0,14,1,6,3,14,3,8,0,22,32,2,4,3,1,1,8,203,266,9.7,3,7.7,17.3,0.3,0.7,0,4.7,0.3,2,1,4.7,1,2.7,7.3,10.7,0.7,1.3,1,0.3,0.3,2.7,67.7,88.7
43262,2020,Geelong Cats,FALSE,8,74,17,59,133,7,5,0,19,6,33,11,27,4,9,1,62,72,0,4,4,0,9,47,491,689,9.3,2.1,7.4,16.6,0.9,0.6,0,2.4,0.8,4.1,1.4,3.4,0.5,1.1,7.8,9,0,0.5,0.5,0,1.1,5.9,61.4,86.1
43262,2020,Geelong Cats,TRUE,4,23,7,23,46,2,3,0,9,2,12,6,2,1,1,0,17,29,1,3,1,0,3,15,185,300,5.8,1.8,5.8,11.5,0.5,0.8,0,2.3,0.5,3,1.5,0.5,0.3,0.3,4.3,7.3,0.3,0.8,0.3,0,0.8,3.8,46.3,75
45805,1993,Adelaide Crows,TRUE,3,12,8,9,21,NULL,NULL,1,3,NULL,NULL,NULL,NULL,4,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,86,NULL,4,2.7,3,7,NULL,NULL,1,1.5,NULL,NULL,NULL,NULL,1.3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,28.7,NULL
43265,2001,Port Adelaide Power,FALSE,12,28,18,20,48,3,5,63,5,3,9,14,5,7,7,0,31,20,4,7,2,0,0,23,270,NULL,2.3,1.5,1.7,4,0.3,0.4,5.3,0.4,0.3,0.8,1.2,0.4,0.6,0.6,2.6,1.7,0.3,0.6,0.2,0,0,1.9,22.5,NULL
43265,2005,St Kilda Saints,FALSE,20,130,71,93,223,12,2,257,18,6,51,51,51,31,23,0,103,118,7,11,32,3,7,74,1154,1548,6.5,3.6,4.7,11.2,0.6,0.1,12.9,0.9,0.3,2.6,2.6,2.6,1.6,1.2,5.2,5.9,0.4,0.6,1.6,0.2,0.4,3.7,57.7,77.4
43265,2005,St Kilda Saints,TRUE,2,10,4,6,16,0,0,32,1,0,4,6,3,5,2,0,9,5,1,0,4,0,0,0,89,130,5,2,3,8,0,0,16,0.5,0,2,3,1.5,2.5,1,4.5,2.5,0.5,0,2,0,0,0,44.5,65
43265,2006,St Kilda Saints,FALSE,19,99,67,60,159,6,4,204,11,17,26,26,28,22,16,0,71,91,7,6,30,6,2,40,880,1020,5.2,3.5,3.2,8.4,0.3,0.2,10.7,0.6,0.9,1.4,1.4,1.5,1.2,0.8,3.7,4.8,0.4,0.3,1.6,0.3,0.1,2.1,46.3,53.7
43265,2007,Carlton Blues,FALSE,20,92,63,96,188,4,2,295,19,5,28,42,39,29,21,0,89,97,6,3,31,2,6,26,1020,1180,4.6,3.2,4.8,9.4,0.2,0.1,14.8,1,0.3,1.4,2.1,2,1.5,1.1,4.5,4.9,0.3,0.2,1.6,0.1,0.3,1.3,51,59
43265,2008,Carlton Blues,FALSE,1,5,5,6,11,0,0,12,0,0,1,1,2,0,0,0,3,8,0,1,0,0,0,0,54,59,5,5,6,11,0,0,12,0,0,1,1,2,0,0,3,8,0,1,0,0,0,0,54,59
43266,2014,St Kilda Saints,FALSE,3,11,3,15,26,1,0,0,8,3,2,6,2,1,0,0,18,11,0,0,4,0,0,6,111,150,3.7,1,5,8.7,0.3,0,0,2.7,1,0.7,2,0.7,0.3,0,6,3.7,0,0,1.3,0,0,2,37,50
