id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
10956,Carlton Blues,3,1993-04-12,1993,H,Hawthorn Hawks,3.3 5.7 11.11 16.16,112,4.4 8.8 12.11 16.14,110,W,2,Princes Park,33274,16,16,16,14
10957,Carlton Blues,5,1993-04-25,1993,A,St Kilda Saints,4.5 7.9 13.15 17.21,123,4.4 8.6 10.9 11.12,78,W,45,Waverley Park,51211,17,21,11,12
10958,Carlton Blues,6,1993-05-02,1993,H,Collingwood Magpies,3.2 7.9 10.10 15.11,101,4.2 10.3 14.7 21.11,137,L,-36,Melbourne Cricket Ground,86196,15,11,21,11
10959,Carlton Blues,7,1993-05-09,1993,A,Sydney Swans,5.3 13.7 16.8 21.13,139,2.6 7.11 10.14 13.17,95,W,44,Sydney Cricket Ground,9214,21,13,13,17
10960,Carlton Blues,8,1993-05-15,1993,H,Western Bulldogs,2.3 5.6 9.10 11.12,78,5.4 10.5 12.11 15.16,106,L,-28,Princes Park,24133,11,12,15,16
10961,Carlton Blues,9,1993-05-21,1993,A,North Melbourne Kangaroos,5.3 9.6 11.10 14.12,96,7.5 13.8 17.10 20.14,134,L,-38,Melbourne Cricket Ground,44833,14,12,20,14
10974,	Carlton Blues,QF,1993-09-04,1993,H,Essendon Bombers,4.3 7.6 12.7 15.10,100,3.4 7.6 11.7 14.14,98,W,2,Melbourne Cricket Ground,79739,15,10,14,14
10964,Carlton Blues,12,1993-06-19,1993,H,Adelaide Crows,6.3 9.5 17.7 24.12,156,1.5 7.5 9.6 11.11,77,W,79,Princes Park,21405,24,12,11,11
10955,Carlton Blues,2,1993-04-03,1993,A,Essendon Bombers,6.2 12.6 14.13 19.18,132,4.5 11.8 14.12 20.12,132,D,0,"Melbourne Cricket Ground
",49856,19,18,20,12
10967,Carlton Blues,16,1993-07-17,1993,A,Fitzroy Lions,2.4 7.8 18.14 27.19,181,3.3 10.6 11.8 14.11,95,W,86,Princes Park,24987,27,19,14,11
10969,Carlton Blues,18,1993-07-31,1993,A,Hawthorn Hawks,3.5 6.8 12.16 17.20,122,4.1 8.5 9.10 13.13,91,W,31,Waverley Park,40850,17,20,13,13
10970,Carlton Blues,19,1993-08-07,1993,A,Richmond Tigers,3.3 8.5 11.7 16.10,106,2.2 8.5 10.8 12.11,83,W,23,Melbourne Cricket Ground,30874,16,10,12,11
10971,Carlton Blues,20,1993-08-14,1993,H,St Kilda Saints,4.6 6.8 8.11 10.17,77,4.2 6.11 10.14 11.18,84,L,-7,Princes Park,22774,10,17,11,18
10972,Carlton Blues,21,1993-08-21,1993,A,Collingwood Magpies,4.4 8.6 12.10 17.15,117,4.1 7.10 8.12 8.15,63,W,54,Melbourne Cricket Ground,84054,17,15,8,15
10973,Carlton Blues,22,1993-08-28,1993,H,Sydney Swans,5.6 10.9 15.10 16.15,111,5.3 6.7 12.8 16.14,110,W,1,Princes Park,21900,16,15,16,14
10968,Carlton Blues,17,1993-07-24,1993,H,Essendon Bombers,0.3 5.5 8.7 12.11,83,2.5 4.8 8.13 15.14,104,L,-21,"Melbourne Cricket Ground
",67035,12,11,15,14
10976,Carlton Blues,GF,1993-09-25,1993,A,Essendon Bombers,1.2 5.2 10.5 13.11,89,5.8 10.9 16.11 20.13,133,L,-44,Melbourne Cricket Ground,96862,13,11,20,13
10977,Carlton Blues,1,1994-03-27,1994,A,Adelaide Crows,4.2 4.2 7.5 13.6,84,5.4 12.12 16.14 22.18,150,L,-66,AAMI Stadium,44953,13,6,22,18
10978,Carlton Blues,2,1994-04-04,1994,A,Collingwood Magpies,3.4 6.8 7.9 9.12,66,2.4 6.8 12.12 14.16,100,L,-34,Melbourne Cricket Ground,85063,9,12,14,16
10979,Carlton Blues,3,1994-04-10,1994,H,Geelong Cats,3.1 9.6 13.12 14.15,99,2.4 5.6 6.7 10.10,70,W,29,Princes Park,28496,14,15,10,10
10980,Carlton Blues,4,1994-04-16,1994,A,Hawthorn Hawks,6.2 8.6 19.9 24.16,160,2.0 4.4 9.6 11.7,73,W,87,Waverley Park,30944,24,16,11,7
10982,Carlton Blues,7,1994-05-08,1994,A,West Coast Eagles,1.2 4.4 5.8 6.13,49,5.9 10.12 13.16 16.19,115,L,-66,Domain Stadium,26676,6,13,16,19
10983,Carlton Blues,8,1994-05-13,1994,A,Richmond Tigers,7.3 13.11 15.12 20.15,135,1.3 5.3 10.8 16.11,107,W,28,Melbourne Cricket Ground,50227,20,15,16,11
10984,Carlton Blues,9,1994-05-21,1994,A,Essendon Bombers,2.3 4.11 4.14 7.20,62,3.3 3.6 7.7 9.9,63,L,-1,Waverley Park,40080,7,20,9,9
10985,Carlton Blues,10,1994-05-28,1994,H,Western Bulldogs,5.5 6.7 10.11 16.13,109,4.2 6.11 8.15 13.19,97,W,12,Princes Park,23691,16,13,13,19
10986,Carlton Blues,11,1994-06-04,1994,H,Fitzroy Lions,6.3 14.7 19.11 20.15,135,2.1 5.3 7.6 12.8,80,W,55,Waverley Park,19090,20,15,12,8
10991,Carlton Blues,16,1994-07-10,1994,H,Adelaide Crows,3.3 11.6 12.12 20.16,136,3.5 5.8 9.11 10.16,76,W,60,Princes Park,29695,20,16,10,16
11024,	Carlton Blues,PF,1995-09-23,1995,H,North Melbourne Kangaroos,4.3 11.5 11.7 18.10,118,2.1 5.4 8.6 8.8,56,W,62,Melbourne Cricket Ground,72552,18,10,8,8
10993,Carlton Blues,18,1994-07-24,1994,A,Geelong Cats,2.1 2.2 5.4 8.6,54,7.6 9.9 11.11 13.12,90,L,-36,Waverley Park,42930,8,6,13,12
10994,Carlton Blues,19,1994-07-30,1994,H,Hawthorn Hawks,4.3 7.7 13.10 15.14,104,1.2 4.6 8.13 9.18,72,W,32,Princes Park,25265,15,14,9,18
11029,Carlton Blues,4,1996-04-20,1996,H,Melbourne Demons,6.3 15.5 17.6 21.7,133,3.2 6.3 10.8 12.14,86,W,47,"Princes Park
",19051,21,7,12,14
10996,Carlton Blues,22,1994-08-21,1994,H,West Coast Eagles,6.3 10.5 16.8 19.12,126,2.2 3.5 6.9 8.14,62,W,64,Princes Park,28038,19,12,8,14
